"geographic_level","country_name","region_name","la_name","geo_breakdown"
"Local authority","England","East Midlands","Rutland","Rutland"
"Local authority","England","West Midlands","Birmingham","Birmingham"
"Local authority","England","Yorkshire and The Humber","Barnsley","Barnsley"
"Local authority","England","South East","Brighton and Hove","Brighton and Hove"
"Local authority","England","North West","Wigan","Wigan"
"Local authority","England","North West","Tameside","Tameside"
"Local authority","England","North East","Middlesbrough","Middlesbrough"
"Local authority","England","North East","County Durham","County Durham"
"Local authority","England","West Midlands","Staffordshire","Staffordshire"
"Local authority","England","West Midlands","Walsall","Walsall"
"Local authority","England","South West","Torbay","Torbay"
"Local authority","England","Yorkshire and The Humber","Kirklees","Kirklees"
"Local authority","England","London","Croydon","Croydon"
"Local authority","England","North East","Redcar and Cleveland","Redcar and Cleveland"
"Local authority","England","East Midlands","Derby","Derby"
"Local authority","England","West Midlands","Herefordshire, County of","Herefordshire, County of"
"Local authority","England","London","Camden","Camden"
"Local authority","England","London","Greenwich","Greenwich"
"Local authority","England","Yorkshire and The Humber","Doncaster","Doncaster"
"Local authority","England","North West","Cumberland","Cumberland"
"Local authority","England","South East","East Sussex","East Sussex"
"Local authority","England","South East","Southampton","Southampton"
"Local authority","England","West Midlands","Shropshire","Shropshire"
"Local authority","England","West Midlands","Sandwell","Sandwell"
"Local authority","England","North West","Liverpool","Liverpool"
"Local authority","England","North East","Sunderland","Sunderland"
"Local authority","England","Yorkshire and The Humber","York","York"
"Local authority","England","South East","Medway","Medway"
"Local authority","England","North West","Rochdale","Rochdale"
"Local authority","England","North East","Darlington","Darlington"
"Local authority","England","North West","Cheshire West and Chester","Cheshire West and Chester"
"Local authority","England","North West","Knowsley","Knowsley"
"Local authority","England","North East","Northumberland","Northumberland"
"Local authority","England","North West","Sefton","Sefton"
"Local authority","England","South East","Wokingham","Wokingham"
"Local authority","England","London","Barking and Dagenham","Barking and Dagenham"
"Local authority","England","Yorkshire and The Humber","Calderdale","Calderdale"
"Local authority","England","Yorkshire and The Humber","Kingston upon Hull, City of","Kingston upon Hull, City of"
"Local authority","England","North West","Cheshire East","Cheshire East"
"Local authority","England","London","Kensington and Chelsea","Kensington and Chelsea"
"Local authority","England","London","Brent","Brent"
"Local authority","England","London","Islington","Islington"
"Local authority","England","North West","St. Helens","St. Helens"
"Local authority","England","South West","South Gloucestershire","South Gloucestershire"
"Local authority","England","East of England","Bedford","Bedford"
"Local authority","England","North East","South Tyneside","South Tyneside"
"Local authority","England","London","Merton","Merton"
"Local authority","England","South East","Surrey","Surrey"
"Local authority","England","London","Sutton","Sutton"
"Local authority","England","London","Hammersmith and Fulham","Hammersmith and Fulham"
"Local authority","England","South East","Hampshire","Hampshire"
"Local authority","England","London","Bromley","Bromley"
"Local authority","England","South West","Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole"
"Local authority","England","London","Wandsworth","Wandsworth"
"Local authority","England","Yorkshire and The Humber","Sheffield","Sheffield"
"Local authority","England","Yorkshire and The Humber","North Yorkshire","North Yorkshire"
"Local authority","England","London","Enfield","Enfield"
"Local authority","England","Yorkshire and The Humber","Leeds","Leeds"
"Local authority","England","South West","Dorset","Dorset"
"Local authority","England","South West","Plymouth","Plymouth"
"Local authority","England","North West","Westmorland and Furness","Westmorland and Furness"
"Local authority","England","London","Hounslow","Hounslow"
"Local authority","England","East Midlands","Lincolnshire","Lincolnshire"
"Local authority","England","South East","West Berkshire","West Berkshire"
"Local authority","England","West Midlands","Stoke-on-Trent","Stoke-on-Trent"
"Local authority","England","London","Havering","Havering"
"Local authority","England","East Midlands","Leicestershire","Leicestershire"
"Local authority","England","South East","Bracknell Forest","Bracknell Forest"
"Local authority","England","East of England","Norfolk","Norfolk"
"Local authority","England","East Midlands","North Northamptonshire","North Northamptonshire"
"Local authority","England","South West","North Somerset","North Somerset"
"Local authority","England","South East","Reading","Reading"
"Local authority","England","London","Richmond upon Thames","Richmond upon Thames"
"Local authority","England","South East","Windsor and Maidenhead","Windsor and Maidenhead"
"Local authority","England","South West","Bristol, City of","Bristol, City of"
"Local authority","England","South West","Somerset","Somerset"
"Local authority","England","London","Westminster","Westminster"
"Local authority","England","London","Newham","Newham"
"Local authority","England","North West","Halton","Halton"
"Local authority","England","Yorkshire and The Humber","North East Lincolnshire","North East Lincolnshire"
"Local authority","England","East of England","Hertfordshire","Hertfordshire"
"Local authority","England","West Midlands","Warwickshire","Warwickshire"
"Local authority","England","London","Kingston upon Thames","Kingston upon Thames"
"Local authority","England","East of England","Thurrock","Thurrock"
"Local authority","England","East Midlands","West Northamptonshire","West Northamptonshire"
