time_period,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,education_phase,num_schools,enrolments,present_sessions,overall_attendance,approved_educational_activity,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_mobile_child,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_c1_authorised_regulated_performance,reason_j1_authorised_interview,reason_c2_authorised_temp_reduced_timetable,reason_b_aea_education_off_site,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_k_aea_education_arranged_by_la,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,total_num_schools,total_enrolments,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_mob_perc,auth_excluded_perc,auth_performance_perc,auth_interview_perc,auth_part_time_perc,auth_other_perc,pa_perc,time_identifier
202425,Local authority,E92000001,England,E12000007,London,E09000008,Croydon,306,Primary,83.85106383,26495.84574,8831927,8926764,94837,520979,355863,165116,160777,9447743,4283818,4405053,8688871,143056,265960,24253,13905,108,77,56,2048,34616,241,8377,6222,10945,9,8821,74335,4,723,39998,17721,97703,9694,86,31553,94.48567769,5.51432231,3.766645642,1.747676667,2.815063873,0.256706813,0.423360373,1.03414117,0.187568608,0.102606517,0.147178009,0.00114313,0.000815009,0.021677135,0.002550874,0.088666679,0.065856999,0.366394386,16.24933215,Academic year
202425,Local authority,E92000001,England,E12000001,North East,E06000003,Redcar and Cleveland,807,Primary,43.65608466,8892.222222,3083183,3137060,53877,176786,106642,70144,41418,3313846,1515817,1531975,3047792,35391,86588,7851,565,1,267,0,1507,6545,11,8,3299,8638,0,11466,33011,7,755,27787,6027,35270,1060,44,11852,94.66523188,5.334768121,3.218073501,2.11669462,2.612915627,0.236915053,0.838512109,1.064322241,0.181873267,0.031987002,0.017049676,3.01764173712357e-05,0.008057103,0.045475861,0.000331941,0.000241411,0.099552001,0.197504652,13.21282548,Academic year
202425,Local authority,E92000001,England,E12000004,East Midlands,E06000015,Derby,831,Primary,72.7712766,19643.48936,6843551,6915671,72120,402868,264618,138250,101053,7318539,3339349,3416342,6755691,87860,200237,18123,13412,3,10,0,2166,19195,168,620,10684,16959,0,4857,50026,4,274,44669,13193,78496,1892,74,24697,94.4952401,5.504759898,3.615721662,1.889038236,2.736024226,0.247631392,0.610354061,1.0725638,0.18026822,0.025852154,0.183260621,4.09917881150869e-05,0.000136639,0.029596071,0.00229554,0.008471636,0.145985421,0.262279124,15.34592969,Academic year
202425,Local authority,E92000001,England,E12000005,West Midlands,E06000019,"Herefordshire, County of",884,Primary,77.31746032,11006.48677,3867157,3922132,54975,194252,160031,34221,40461,4116384,1907030,1923381,3830411,36746,120238,13924,521,1,1081,0,1013,20290,37,192,2734,7766,0,9562,36551,1,1095,15557,3715,13718,1231,78,13321,95.28100391,4.71899609,3.887659655,0.831336435,2.920961698,0.338258044,0.377928784,0.333253652,0.090249112,0.029904887,0.01265674,2.42931660408747e-05,0.026260912,0.024608977,0.000898847,0.004664288,0.066417516,0.492908339,10.33649698,Academic year
202425,Local authority,E92000001,England,E12000007,London,E09000007,Camden,202,Primary,37.4893617,7870.468085,2718115,2758120,40005,169840,130330,39510,52558,2927960,1315841,1354002,2669843,48272,97345,9665,8259,0,0,0,445,12267,367,537,1445,6111,0,3354,30275,0,265,10583,4286,23714,927,38,9997,94.19937431,5.800625692,4.451222011,1.34940368,3.324669736,0.330093307,0.361446195,0.809915436,0.146381781,0.031660269,0.282073526,0,0,0.015198295,0.012534324,0.018340414,0.049351767,0.418960642,16.10250298,Academic year
202425,Local authority,E92000001,England,E12000007,London,E09000011,Greenwich,203,Primary,61.61702128,19395.78723,6465636,6538687,73051,357569,231041,126528,133410,6896256,3116367,3223611,6339978,125658,172262,18769,7631,7,85,0,948,24124,279,3275,3661,15382,0,1799,55598,1,271,26890,7752,85970,5916,63,23711,94.81502717,5.184972832,3.350238158,1.834734673,2.49790611,0.27216217,0.38992172,1.246618455,0.11240882,0.085785678,0.110654245,0.000101504,0.001232553,0.013746589,0.004045673,0.047489536,0.053086776,0.349813,14.89789908,Academic year
202425,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000017,Doncaster,371,Primary,96.96256684,22715.50267,7513723,7602120,88397,415329,266067,149262,89251,8017449,3688919,3746826,7435745,77978,210703,19650,1980,4,3957,14,3637,19028,208,371,6515,19413,0,4783,60774,4,3423,67252,11273,67414,3323,98,28202,94.81968641,5.180313589,3.31859922,1.861714368,2.628055383,0.245090427,0.838820428,0.840841021,0.140605821,0.041447099,0.024696135,4.98911810976284e-05,0.049354851,0.045363556,0.002594341,0.004627407,0.081260261,0.237332348,13.95499503,Academic year
202425,Local authority,E92000001,England,E12000002,North West,E06000063,Cumberland,942,Primary,141.9840426,16903.28723,5913535,6002492,88957,302946,225165,77781,46492,6305438,2935002,2939673,5874675,38860,184702,16118,841,7,2369,0,1629,16107,154,524,2714,13147,0,11991,63160,0,659,46051,7632,21732,2366,144,21777,95.19548047,4.804519527,3.570965253,1.233554275,2.929249324,0.255620625,0.730337845,0.344654884,0.12103838,0.037523167,0.013337694,0.000111015,0.037570744,0.025834843,0.002442336,0.008310287,0.043042212,0.255446172,10.45570337,Academic year
202425,Local authority,E92000001,England,E12000008,South East,E10000011,East Sussex,845,Primary,144.2340426,30187.74468,10476455,10597971,121516,648781,462830,185951,133549,11246752,5142581,5221666,10364247,112208,357139,30504,2243,1,796,0,5091,36626,554,1513,28363,27581,0,13103,79947,1,884,67942,21341,91450,5218,143,35023,94.23139232,5.768607683,4.115232558,1.653375126,3.175485687,0.271224972,0.6041033,0.813123647,0.189752561,0.046395617,0.019943536,8.8914559510159e-06,0.007077599,0.045266402,0.004925867,0.013452773,0.252188365,0.325658466,14.89335394,Academic year
202425,Local authority,E92000001,England,E12000008,South East,E06000045,Southampton,852,Primary,53.20744681,16137.55851,5551277,5612106,60829,353578,242023,111555,85824,5965684,2712655,2768331,5480986,70291,185797,13964,5983,3,3609,2,2374,18169,148,241,11733,9429,0,3156,47539,0,705,34000,15533,59941,2081,54,19271,94.07313562,5.92686438,4.056919542,1.869944838,3.114429125,0.23407207,0.569926265,1.004763243,0.26037249,0.03488284,0.10029026,5.0287611613354e-05,0.060495997,0.039794263,0.002480856,0.004039771,0.196674849,0.304558538,16.700155,Academic year
202425,Local authority,E92000001,England,E12000005,West Midlands,E06000051,Shropshire,893,Primary,124.6507937,17478.57672,6080570,6152384,71814,324051,259588,64463,51392,6476435,3010539,3027476,6038015,42555,204873,18356,509,17,1585,4,1383,26716,122,476,5547,14131,0,6901,50503,4,275,29712,8837,22664,3250,127,20075,94.99646024,5.003539756,4.008192779,0.995346977,3.163360707,0.283427534,0.458770913,0.349945611,0.136448525,0.050181929,0.007859262,0.00026249,0.024473341,0.021354341,0.001883752,0.007349722,0.085648972,0.412510895,11.6589232,Academic year
202425,Local authority,E92000001,England,E12000005,West Midlands,E08000028,Sandwell,333,Primary,92.39153439,29691.25397,9870498,9956918,86420,599342,395308,204034,177251,10556260,4791501,4922214,9713715,156783,312101,20429,23854,11,91,20,2266,24368,100,209,11858,14832,0,792,70512,2,282,41450,20468,139146,2970,93,35648,94.32240206,5.677597937,3.744773244,1.932824694,2.956549005,0.193524979,0.392658006,1.318137295,0.193894429,0.028134964,0.225970183,0.000104204,0.000862048,0.021465936,0.000947305,0.001979868,0.112331451,0.230839331,16.01060175,Academic year
202425,Local authority,E92000001,England,E12000002,North West,E08000012,Liverpool,341,Primary,114.0585106,34182.09574,11504727,11589768,85041,685848,363378,322470,294436,12275616,5483165,5747465,11230630,274097,287216,26279,11663,19,120,0,4169,24405,229,744,8534,20852,0,4107,59102,2,978,94235,20339,200017,7879,115,41047,94.41292396,5.587076038,2.960161022,2.626915016,2.339727799,0.214074797,0.767660051,1.629384627,0.165686186,0.064184152,0.095009489,0.000154778,0.000977548,0.033961636,0.001865487,0.006060796,0.069519933,0.19880876,15.7020334,Academic year
202425,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Primary,80.64021164,18285.80952,6145232,6214014,68782,337632,229089,108543,66567,6551646,3018931,3065521,6084452,60780,187730,17346,2444,4,1482,0,1913,14968,794,65,2343,16235,0,1276,50571,0,700,53029,5787,45914,3813,81,22915,94.84660801,5.153391987,3.496663281,1.656728706,2.865386805,0.264757894,0.809399653,0.70080099,0.088328948,0.058199115,0.037303603,6.10533597205954e-05,0.02262027,0.029198769,0.012119092,0.000992117,0.035762005,0.228461672,13.79947803,Academic year
202425,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000014,York,816,Primary,49.4787234,10908.96809,3817884,3863419,45535,205779,147840,57939,46518,4069198,1877714,1901749,3779463,38421,108182,11692,1147,0,1274,0,1961,13141,249,298,9896,5856,0,2556,36368,2,753,23485,8097,25339,1018,50,13336,94.94300843,5.056991574,3.63314835,1.423843224,2.658558271,0.287329346,0.577140754,0.622702557,0.198982699,0.025017215,0.028187373,0,0.031308381,0.048191314,0.006119142,0.00732331,0.243192885,0.322938328,11.89415772,Academic year
202425,Local authority,E92000001,England,E12000008,South East,E06000035,Medway,887,Primary,74.84042553,21941.62766,7575950,7644596,68646,454548,318312,136236,82094,8099144,3726951,3779255,7506206,69744,242874,22120,3549,9,554,8,3429,30513,72,684,14500,9061,0,13872,44885,2,826,39437,12350,80218,4231,76,26660,94.38770319,5.612296806,3.930193117,1.682103689,2.998761351,0.273115282,0.486928001,0.990450349,0.15248525,0.052240089,0.043819446,0.000111123,0.006840229,0.042337808,0.000888983,0.008445337,0.179031266,0.376743518,15.95362024,Academic year
202425,Local authority,E92000001,England,E12000002,North West,E08000005,Rochdale,354,Primary,68.31914894,19682.37766,6422400,6467838,45438,370384,224689,145695,105069,6838222,3127775,3206172,6333947,88453,170987,17178,13350,37,190,0,2637,13615,123,108,6464,9341,0,2254,32661,0,1182,51836,16616,72621,4622,68,19822,94.5836213,5.416378702,3.285781011,2.13059769,2.500459915,0.25120565,0.758033302,1.061986581,0.242987139,0.067590669,0.195226186,0.000541076,0.0027785,0.038562656,0.001798713,0.001579358,0.094527496,0.199101462,14.71534338,Academic year
202425,Local authority,E92000001,England,E12000001,North East,E06000005,Darlington,841,Primary,28.83597884,6987.772487,2426160,2451546,25386,144049,102506,41543,25354,2595595,1195435,1209621,2405056,21104,74176,6863,473,1,9910,0,1227,8356,73,53,1374,7059,0,4561,13068,1,697,18165,4250,17731,1397,29,8684,94.45025129,5.549748709,3.949229367,1.600519341,2.85776479,0.264409509,0.699839536,0.6831189,0.16373895,0.053821956,0.018223182,3.85268117714821e-05,0.381800705,0.047272398,0.002812457,0.002041921,0.052935839,0.321930039,14.71355955,Academic year
202425,Local authority,E92000001,England,E12000002,North West,E06000050,Cheshire West and Chester,896,Primary,126.7393617,23055.99468,7951731,8063123,111392,419304,306096,113208,93022,8482427,3912855,3959407,7872262,79469,233478,25196,1860,36,4315,2,1863,29620,175,986,8565,15967,0,7562,86493,5,1365,58975,13553,37675,3005,128,27884,95.05679212,4.943207881,3.608589853,1.334618029,2.752490531,0.297037628,0.69526092,0.444153542,0.159777384,0.035426182,0.021927686,0.000424407,0.050869875,0.021963054,0.002063089,0.011624032,0.10097346,0.349192513,11.4173065,Academic year
202425,Local authority,E92000001,England,E12000002,North West,E08000011,Knowsley,340,Primary,49.73404255,12210.52128,3913616,3939120,25504,272093,146100,125993,95487,4211213,1869876,1954965,3824841,88775,120386,8729,441,2,46,0,1180,12436,67,44,2769,6138,0,1660,17078,4,624,35230,6712,78068,5983,50,14383,93.53884498,6.461155016,3.469309199,2.991845817,2.858701282,0.207279945,0.836576065,1.853812666,0.159384006,0.14207308,0.010472042,4.74922546069268e-05,0.001092322,0.02802043,0.001590991,0.00104483,0.065753027,0.295306839,19.71395115,Academic year
202425,Local authority,E92000001,England,E12000001,North East,E06000057,Northumberland,929,Primary,126.1428571,16262.21693,5639966,5698058,58092,295703,186682,109021,58805,5993761,2777002,2811203,5588205,51761,147978,15484,771,2,487,0,1972,15195,189,226,4378,7600,0,1932,48095,1,464,53217,7044,46966,1794,127,20829,95.06648664,4.933513365,3.114605337,1.818908028,2.46886721,0.258335292,0.88787324,0.783581461,0.117522204,0.029931123,0.012863376,3.33680305237396e-05,0.008125115,0.032900878,0.003153279,0.003770587,0.073042619,0.253513612,10.9120038,Academic year
202425,Local authority,E92000001,England,E12000002,North West,E08000014,Sefton,343,Primary,73.65425532,18517.42021,6179090,6229563,50473,349584,242053,107531,91282,6579147,3012920,3084089,6097009,82081,200973,20001,996,7,239,0,1277,14669,162,99,3630,11237,0,4844,34315,3,74,47652,9201,42725,7953,74,21993,94.68648443,5.313515567,3.679093962,1.634421605,3.054696908,0.304005975,0.724288422,0.649400295,0.139850956,0.120881932,0.015138741,0.000106397,0.00363269,0.019409811,0.002462325,0.001504754,0.055174326,0.222962034,13.37070091,Academic year
202425,Local authority,E92000001,England,E12000008,South East,E06000041,Wokingham,872,Primary,54.42553191,13268.5266,4616599,4676900,60301,222898,176853,46045,43637,4899798,2277437,2300810,4578247,38352,133330,12529,4462,10,283,0,1226,13839,152,3388,7634,7016,0,9086,43900,3,296,22385,5285,16491,1884,55,14045,95.45087369,4.549126311,3.609393693,0.939732618,2.721132585,0.255704419,0.456855568,0.336564895,0.107861589,0.038450565,0.091064979,0.00020409,0.005775748,0.02502144,0.003102169,0.069145708,0.155802341,0.282440215,9.784411277,Academic year
